id	hunter	status	typesample	serial	year	manufacturer	model	twdb_url	image	images
1	munk	Sightings	http://typewriterdatabase.com/img/tSmith-Corona _1_1359326742.jpg	5TE139238	1958	Smith Corona	Electric Portable	http://typewriterdatabase.com/1958-smith-corona-electric-portable.1.typewriter	http://typewriterdatabase.com/img/thumbs/gSmith-Corona _1_1359349978.png	5
2	munk	My Collection	http://typewriterdatabase.com/img/tBrother _2_1359327272.jpg	L0944386	1970	Webster	XL-747	http://typewriterdatabase.com/1970-webster-xl747.2.typewriter	http://typewriterdatabase.com/img/thumbs/gBrother _2_1359327271.jpg	6
3	munk	My Collection	http://typewriterdatabase.com/img/tHermes _3_1359327982.gif	3246817	1964	Hermes	3000	http://typewriterdatabase.com/1964-hermes-3000.3.typewriter	http://typewriterdatabase.com/img/thumbs/gHermes _3_1359350118.jpg	6
4	munk	Sightings	http://typewriterdatabase.com/img/tSmith-Corona _4_1360640709.jpg	2Y339780	1957	Smith Corona	Skyriter	http://typewriterdatabase.com/1957-smith-corona-skyriter.4.typewriter	http://typewriterdatabase.com/img/thumbs/gSmith-Corona _4_1360640708.jpg	7
5	munk	Sightings	http://typewriterdatabase.com/img/tRemington _5_1359560727.jpg	QT2322824	1952	Remington	Quiet-Riter	http://typewriterdatabase.com/1952-remington-quietriter.5.typewriter	http://typewriterdatabase.com/img/thumbs/gRemington _5_1359560726.jpg	10
6	munk	My Collection	http://typewriterdatabase.com/img/tIBM _6_1360445638.jpg	4088598	1963	IBM	Selectric I	http://typewriterdatabase.com/1963-ibm-selectric-i.6.typewriter	http://typewriterdatabase.com/img/thumbs/gIBM _6_1383360762.jpg	23
7	munk	My Collection	http://typewriterdatabase.com/img/tIBM _7_1360445619.jpg	5846248	1970	IBM	Selectric I	http://typewriterdatabase.com/1970-ibm-selectric-i.7.typewriter	http://typewriterdatabase.com/img/thumbs/gIBM _7_1360008392.jpg	9
8	munk	Sightings	http://typewriterdatabase.com/img/tDayton _8_1379179640.jpg	BN-330	1924	Dayton	Portable	http://typewriterdatabase.com/1924-dayton-portable.8.typewriter	http://typewriterdatabase.com/img/thumbs/gDayton _8_1360034607.jpg	24
9	ToriForte	My Collection	http://typewriterdatabase.com/img/tHermes _9_1360445582.jpg	6027915	1964	Hermes	Rocket	http://typewriterdatabase.com/1964-hermes-rocket.9.typewriter	http://typewriterdatabase.com/img/thumbs/gHermes _9_1360213035.jpg	4
10	munk	Sightings	http://typewriterdatabase.com/img/tSmith-Corona _10_1360442972.jpg	5AX-430658	1966	Smith Corona	Sterling	http://typewriterdatabase.com/1966-smith-corona-sterling.10.typewriter	http://typewriterdatabase.com/img/thumbs/gSmith-Corona _10_1360442972.jpg	3
11	munk	My Collection	http://typewriterdatabase.com/img/tUnderwood _11_1360443514.jpg	AG2859328	1957	Underwood	De Luxe	http://typewriterdatabase.com/1957-underwood-de-luxe.11.typewriter	http://typewriterdatabase.com/img/thumbs/gUnderwood _11_1360966863.jpg	14
12	richardpolt	Sightings	NONE	HV90146	1919	Century	10	http://typewriterdatabase.com/1919-century-10.12.typewriter	http://typewriterdatabase.com/img/thumbs/gCentury _12_1360506436.jpg	4
13	munk	My Collection	http://typewriterdatabase.com/img/tRoyal _13_1362812776.jpg	A-1551567	1948	Royal	Quiet De Luxe	http://typewriterdatabase.com/1948-royal-quiet-de-luxe.13.typewriter	http://typewriterdatabase.com/img/thumbs/gRoyal _13_1360523020.jpg	7
14	munk	My Collection	http://typewriterdatabase.com/img/tRemington Rand _14_1369185528.png	S73610	1933	Monarch (Remington)	Remie Scout Model	http://typewriterdatabase.com/1933-monarch-remington-remie-scout-model.14.typewriter	http://typewriterdatabase.com/img/thumbs/gRemington Rand _14_1360523852.jpg	7
15	munk	My Collection	http://typewriterdatabase.com/img/t _15_1472846091.jpg	CD-226351	1941	Royal	Companion	http://typewriterdatabase.com/1941-royal-companion.15.typewriter	http://typewriterdatabase.com/img/thumbs/groyal _15_1472845787.jpg	15
16	richardpolt	My Collection	NONE	48051	1926-1930	Senta	4	http://typewriterdatabase.com/19261930-senta-4.16.typewriter	http://typewriterdatabase.com/img/thumbs/gSenta _16_1360587379.jpg	6
17	ScottK	Sightings	NONE	Not Accessable	193x	Hermes	Baby	http://typewriterdatabase.com/193x-hermes-baby.17.typewriter	http://typewriterdatabase.com/img/thumbs/gHermes _17_1360625791.jpg	1
18	munk	My Collection	http://typewriterdatabase.com/img/tCorona _18_1360640230.jpg	R2P05175	1929	Corona	4	http://typewriterdatabase.com/1929-corona-4.18.typewriter	http://typewriterdatabase.com/img/thumbs/gCorona _18_1360640229.jpg	27
19	munk	My Collection	http://typewriterdatabase.com/img/tSwissa _19_1360701669.jpg	6102535	1961	Swissa	Junior	http://typewriterdatabase.com/1961-swissa-junior.19.typewriter	http://typewriterdatabase.com/img/thumbs/gSwissa _19_1360701668.jpg	24
20	munk	Sightings	http://typewriterdatabase.com/img/tSmith-Corona _20_1360702691.jpg	6LT2-206484	1966*	Smith Corona	Classic 12	http://typewriterdatabase.com/1966-smith-corona-classic-12.20.typewriter	http://typewriterdatabase.com/img/thumbs/gSmith-Corona _20_1360702690.jpg	9
1115	notagain	My Collection	http://typewriterdatabase.com/img/tRemington _1115_1365361964.jpg	AT1937184	1949	Remington	All-New	http://typewriterdatabase.com/1949-remington-allnew.1115.typewriter	http://typewriterdatabase.com/img/thumbs/gRemington _1115_1365361963.jpg	4
21	munk	My Collection	http://typewriterdatabase.com/img/tUnderwood _21_1360703906.jpg	1426474	1920	Underwood	5	http://typewriterdatabase.com/1920-underwood-5.21.typewriter	http://typewriterdatabase.com/img/thumbs/gUnderwood _21_1360703906.jpg	15
22	munk	Sightings	http://typewriterdatabase.com/img/tRoyal _22_1360705071.jpg	A-1971685	1949	Royal	Quiet De Luxe	http://typewriterdatabase.com/1949-royal-quiet-de-luxe.22.typewriter	http://typewriterdatabase.com/img/thumbs/gRoyal _22_1360705070.jpg	11
23	richardpolt	My Collection	NONE	73715	ca. 1915	Chicago	closed frame model	http://typewriterdatabase.com/ca-1915-chicago-closed-frame-model.23.typewriter	http://typewriterdatabase.com/img/thumbs/gChicago _23_1360753110.jpg	1
24	munk	Sightings	http://typewriterdatabase.com/img/tSmith-Corona _24_1360765798.jpg	6T 407348	1964	Smith Corona	Galaxie	http://typewriterdatabase.com/1964-smith-corona-galaxie.24.typewriter	http://typewriterdatabase.com/img/thumbs/gSmith-Corona _24_1362950854.jpg	4
25	munk	Sightings	http://typewriterdatabase.com/img/tSmith-Corona _25_1360765963.jpg	5S300056	1952	Smith Corona	Silent	http://typewriterdatabase.com/1952-smith-corona-silent.25.typewriter	http://typewriterdatabase.com/img/thumbs/gSmith-Corona _25_1360765963.jpg	8
26	mpclemens	My Collection	http://typewriterdatabase.com/img/tUnderwood _26_1360803276.png	A2548823	1954	Underwood	De Luxe	http://typewriterdatabase.com/1954-underwood-de-luxe.26.typewriter	http://typewriterdatabase.com/img/thumbs/gUnderwood _26_1360860092.jpg	0
27	mpclemens	My Collection	NONE	11-8193744	1958	Underwood	SX	http://typewriterdatabase.com/1958-underwood-sx.27.typewriter	http://typewriterdatabase.com/img/thumbs/gUnderwood _27_1360799954.png	0
28	munk	Sightings	http://typewriterdatabase.com/img/tSmith-Corona _28_1360970097.jpg	5TE-183849	1959	Smith Corona	Electric Portable	http://typewriterdatabase.com/1959-smith-corona-electric-portable.28.typewriter	http://typewriterdatabase.com/img/thumbs/gSmith-Corona _28_1360970097.jpg	12
29	munk	Sightings	NONE	15172	1909*	Bennett	Pocket Model	http://typewriterdatabase.com/1909-bennett-pocket-model.29.typewriter	http://typewriterdatabase.com/img/thumbs/gBennet _29_1360998601.jpg	8
30	ScottK	My Collection	http://typewriterdatabase.com/img/tOlivetti _30_1361184938.png	7764837	1960	Olivetti	Lettera 22	http://typewriterdatabase.com/1960-olivetti-lettera-22.30.typewriter	http://typewriterdatabase.com/img/thumbs/gOlivetti _30_1361184938.jpg	1
33	tryanpa	My Collection	NONE	HHP-13-5326690	1954	Royal	HH	http://typewriterdatabase.com/1954-royal-hh.33.typewriter	http://typewriterdatabase.com/img/thumbs/gRoyal _33_1361401384.jpg	3
34	munk	Sightings	http://typewriterdatabase.com/img/tRemington Rand _34_1362811613.jpg	P122299	1937	Remington Rand	Model 1 Portable	http://typewriterdatabase.com/1937-remington-rand-model-1-portable.34.typewriter	http://typewriterdatabase.com/img/thumbs/gRemington Rand _34_1361401483.jpg	2
35	ScottK	My Collection	http://typewriterdatabase.com/img/tOlivetti _35_1361525658.png	1049504	1962	Olivetti	Lettera 22	http://typewriterdatabase.com/1962-olivetti-lettera-22.35.typewriter	http://typewriterdatabase.com/img/thumbs/gOlivetti _35_1361525658.jpg	4
36	ScottK	My Collection	http://typewriterdatabase.com/img/tBijou _36_1361527141.png	30046	1920	Bijou	Bijou 5	http://typewriterdatabase.com/1920-bijou-bijou-5.36.typewriter	http://typewriterdatabase.com/img/thumbs/gBijou _36_1361527141.jpg	2
37	natslaptaps	My Collection	http://typewriterdatabase.com/img/tRoyal _37_1361762607.png	P233587	1930	Royal	P	http://typewriterdatabase.com/1930-royal-p.37.typewriter	http://typewriterdatabase.com/img/thumbs/gRoyal _37_1361762605.jpg	0
38	natslaptaps	My Collection	http://typewriterdatabase.com/img/tOlivetti _38_1361764960.png	1185749	1962	Olivetti	Lettera 22	http://typewriterdatabase.com/1962-olivetti-lettera-22.38.typewriter	http://typewriterdatabase.com/img/thumbs/gOlivetti _38_1361764960.jpg	0
